KiCad_X_mm,KiCad_Y_mm,Nominal_pre_fill_bore_mm,Copper_land_mm,Net,UUID,Required_finish
51.6623,37.8156,0.2,0.45,/I2C_SDA,342b0e5e-ff86-407e-a5a6-4aaa67b9ff18,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
34.95,25.525,0.2,0.45,/I2C_SDA,41e233dd-f585-4a80-96d2-cc2f017366f5,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
43.796,26.5148,0.2,0.45,/I2C_SDA,5079aade-23c3-4ec3-b40d-1401e157a1a8,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
37.8837,23.3471,0.2,0.45,/I2C_SDA,da82e470-0578-42af-8ce9-a16b81bc793e,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
60.4243,34.0426,0.2,0.45,/I2C_SCL,009d52b3-8d59-41bd-8971-38728300ebcc,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
36.3288,22.184,0.2,0.45,/I2C_SCL,3dcdce1a-b92f-4c2b-8ec0-c5f22d15b635,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
54.9423,37.6365,0.2,0.45,/UART_RX,030ae6a8-f941-49ee-8dd2-9246dd9acc3a,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
42.35,32.9,0.2,0.45,/UART_RX,162abfab-2cbf-41e8-a300-c2bf7accb8c6,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
44.55,30.7,0.2,0.45,/UART_RX,7cb24acf-d26a-477f-a6b2-5266b8c47a4c,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
45.1447,31.1447,0.2,0.45,/UART_RX,ec3fe14c-461e-4f1d-a783-ea1afbc893db,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
